Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
2240,2:11:25,Paul Davies-Hale,GBR,21 JUN 1962,1,"Chicago, IL (USA)",29 OCT 1989,Men,Marathon
2240,2:11:25,Keijiro Mogi,JPN,21 OCT 1995,36,Osaka (JPN),25 FEB 2024,Men,Marathon
2240,2:11:25,Yuta Takahashi,JPN,04 APR 1993,12,Otsu (JPN),10 MAR 2019,Men,Marathon
2240,2:11:25,Vitalis Kwemoi,UGA,22 MAY 1990,7,Daegu (KOR),07 APR 2019,Men,Marathon
2240,2:11:25,Kazuki Tomaru,JPN,31 JUL 1987,10,Berlin (GER),28 SEP 2014,Men,Marathon
2240,2:11:25,Tsutomu Sassa,JPN,26 JUL 1974,6,Beppu (JPN),02 FEB 2003,Men,Marathon
2240,2:11:25,Kensuke Takahashi,JPN,30 MAY 1978,3,Tokyo (JPN),22 MAR 2009,Men,Marathon
2242,2:34:07,Heather Lieberg,USA,18 JUN 1979,3,"Minneapolis, MN (USA)",06 OCT 2019,Women,Marathon
2242,2:34:07,Adelia Elias,POR,07 MAY 1974,9,Berlin (GER),28 SEP 2003,Women,Marathon
2242,2:34:07,Maria Starovska,TCH,02 MAR 1959,1,Barcelona (ESP),15 MAR 1992,Women,Marathon
2242,2:34:07,Abiyot Eshetu Deme,ETH,20 SEP 1990,1,Würzburg (GER),17 MAY 2015,Women,Marathon
2246,2:34:08,Helen Davies,GBR,12 SEP 1979,1,Brighton (GBR),14 APR 2019,Women,Marathon
2246,2:34:08,Lisa Flint,AUS,20 MAY 1985,1,Melbourne (AUS),11 OCT 2009,Women,Marathon
2246,2:34:08,Anastasiya Podalynskaya,BLR,14 MAR 1992,7,Roma (ITA),16 MAR 2008,Women,Marathon
2246,2:34:08,Jong-Sim Ri,PRK,,8,Pyongyang (PRK),07 APR 2019,Women,Marathon
2250,2:34:09,Cassandra Mihailovic,FRA,06 APR 1961,4,Berlin (GER),04 OCT 1987,Women,Marathon
2250,2:34:09,Cyndie Brown,USA,29 AUG 1961,2,"Pittsburgh, PA (USA)",03 MAY 1987,Women,Marathon
2250,2:34:09,Mekkonen Serkalem Mengiste,ETH,04 SEP 1999,2,Zürich (SUI),21 APR 2024,Women,Marathon
2250,2:34:09,Karen Van Proeyen,BEL,18 NOV 1984,5,Eindhoven (NED),08 OCT 2023,Women,Marathon
2250,2:34:09,Claudia Oberlin,SUI,29 JAN 1979,2,Zürich (SUI),04 APR 2004,Women,Marathon
2250,2:34:09,Yuko Kawakami,JPN,01 AUG 1975,9,Nagoya (JPN),14 MAR 1999,Women,Marathon
2250,2:34:09,Kaoru Sugita,JPN,30 JUL 1974,19,Nagoya (JPN),10 MAR 1996,Women,Marathon
2250,2:34:09,Sirje Eichelmann,URS,16 JUL 1955,2,Belaya Tserkov (URS),07 OCT 1988,Women,Marathon
2250,2:34:09,Gail Kingma,USA,16 DEC 1960,2,"Sacramento, CA (USA)",02 DEC 1984,Women,Marathon
2250,2:34:09,Martha White,USA,31 OCT 1959,8,"Olympia, WA (USA)",12 MAY 1984,Women,Marathon
2252,2:11:26,Khristo Stefanov,BUL,21 DEC 1970,1,Sofia (BUL),19 OCT 1997,Men,Marathon
2252,2:11:26,Kennedy Kibet Rono,KEN,1989,5,Marrakech (MAR),29 JAN 2017,Men,Marathon
2252,2:11:26,Nasar Sakar Saeed,BRN,26 JAN 1978,1,Bruxelles (BEL),27 AUG 2006,Men,Marathon
2252,2:11:26,Geoffrey Letting,KEN,,3,Carpi (ITA),10 OCT 1999,Men,Marathon
2252,2:11:26,Jonathan Kandie,KEN,20 DEC 1967,5,Beppu (JPN),07 FEB 1999,Men,Marathon
2252,2:11:26,Gidem Amaha,ETH,16 SEP 1977,3,Dubai (UAE),06 JAN 2005,Men,Marathon
2252,2:11:26,Ibrahim Mitei,KEN,1978,1,Trieste (ITA),04 MAY 2003,Men,Marathon
2252,2:11:26,Fyodor Shutov,RUS,10 FEB 1986,1,Volgograd (RUS),01 MAY 2016,Men,Marathon
2252,2:11:26,Benson Oloisunga,KEN,1986,3,Warszawa (POL),28 SEP 2014,Men,Marathon
2252,2:11:26,Habtamu Arega,ETH,1994,3,Nice (FRA),03 NOV 2019,Men,Marathon
2252,2:11:26,Stephane Franke,GER,12 FEB 1964,10,London (GBR),13 APR 1997,Men,Marathon
2252,2:11:26,Dickson Kiptoo,KEN,1991,5,Mumbai (IND),21 JAN 2024,Men,Marathon
2252,2:11:26,Tatsunori Hamasaki,JPN,04 JUL 1988,2,Hofu (JPN),17 DEC 2017,Men,Marathon
2252,2:11:26,Kevin Salvano,USA,15 FEB 1998,16,"Chicago, IL (USA)",08 OCT 2023,Men,Marathon
2260,2:34:10,Yenealem Ayanew,ETH,14 MAR 1986,4,Barcelona (ESP),07 MAR 2010,Women,Marathon
2260,2:34:10,Bonnie Mcreynolds,USA,03 JAN 1964,2,"Duluth, MN (USA)",22 JUN 1996,Women,Marathon
2260,2:34:10,Evelyn Lagat,KEN,12 AUG 1980,5,"Baltimore, MD (USA)",15 OCT 2011,Women,Marathon
2260,2:34:10,Susanne Riermeier,FRG,23 DEC 1960,3,Frankfurt (GER),19 MAY 1985,Women,Marathon
2260,2:34:10,Hiruni Wijayaratne,SRI,05 DEC 1990,2,Düsseldorf (GER),28 APR 2019,Women,Marathon
2260,2:34:10,Heather Turland,AUS,27 APR 1960,3,Frankfurt (GER),27 OCT 1996,Women,Marathon
2260,2:34:10,Yulia Arfipova,UZB,07 MAR 1981,8,Frankfurt (GER),28 OCT 2007,Women,Marathon
2260,2:34:10,Jessica Patricia Rodríguez Galván,MEX,09 SEP 1976,2,Culiacán (MEX),18 JAN 2009,Women,Marathon
2266,2:11:27,Blażej Brzeziński,POL,30 JUL 1987,1,Warszawa (POL),24 SEP 2017,Men,Marathon
2266,2:11:27,Yutaka Taketomi,JPN,16 FEB 1954,9,Fukuoka (JPN),07 DEC 1980,Men,Marathon
2266,2:11:27,Ryota Ejima,JPN,02 SEP 1996,3,Nobeoka (JPN),12 FEB 2023,Men,Marathon
2266,2:11:27,Tadesse Dabi,ETH,21 NOV 1988,2,Pyongyang (PRK),07 APR 2019,Men,Marathon
2266,2:11:27,David Gomez González,COL,15 AUG 1991,50,Sevilla (ESP),18 FEB 2024,Men,Marathon
2266,2:11:27,Ismail Sghyr,FRA,16 MAR 1972,10,Amsterdam (NED),19 OCT 2003,Men,Marathon
2266,2:11:27,Ezekiel Kibiwott Sanga,KEN,1963,4,Carpi (ITA),10 OCT 1999,Men,Marathon
2266,2:11:27,Ryoichi Enaidani,JPN,02 JAN 1958,4,Oita (JPN),03 FEB 1991,Men,Marathon
2266,2:11:27,John Burra,TAN,08 AUG 1962,6,Tokyo (JPN),09 FEB 1986,Men,Marathon
2266,2:11:27,Masayuki Nishi,JPN,25 JAN 1964,7,Tokyo (JPN),10 FEB 1991,Men,Marathon
2268,2:34:11,Rita Borralho,POR,21 MAR 1954,5,Berlin (GER),01 OCT 1989,Women,Marathon
2268,2:34:11,Hikaru Kitagawa,JPN,24 NOV 2001,18,Osaka (JPN),28 JAN 2024,Women,Marathon
2268,2:34:11,Sally Goldsmith,GBR,18 JAN 1961,1,Ferrara (ITA),03 MAR 1996,Women,Marathon
2268,2:34:11,Maria Osokina,RUS,04 NOV 1993,1,St. Petersburg (RUS),30 JUN 2019,Women,Marathon
2272,2:34:12,Wilma Van Onna,NED,13 JUN 1965,2,Eindhoven (NED),10 OCT 1999,Women,Marathon
2272,2:34:12,Ivana Iozzia,ITA,18 FEB 1973,1,Torino (ITA),17 NOV 2013,Women,Marathon
2272,2:34:12,Fátima Neves,POR,13 FEB 1963,8,Paris (FRA),24 APR 1994,Women,Marathon
2272,2:34:12,Yukiko Sano,JPN,02 DEC 1973,14,Osaka (JPN),25 JAN 1998,Women,Marathon
2272,2:34:12,Misuzu Okamoto,JPN,21 MAY 1989,5,Sapporo (JPN),30 AUG 2009,Women,Marathon
2276,2:11:28,Mathew Bowen,KEN,,6,Toronto (CAN),18 OCT 2015,Men,Marathon
2276,2:11:28,Stepan Kiselyov,RUS,03 NOV 1986,5,Zürich (SUI),06 APR 2014,Men,Marathon
2276,2:11:28,Joseph Ngurane,KEN,1973,2,Trieste (ITA),06 MAY 2007,Men,Marathon
2276,2:11:28,Joshua Griffiths,GBR,03 NOV 1993,31,Sevilla (ESP),20 FEB 2022,Men,Marathon
2276,2:11:28,Hajime Nakatomi,JPN,24 AUG 1968,1,Oita (JPN),06 FEB 1994,Men,Marathon
2276,2:11:28,Toshiaki Kurabayashi,JPN,29 APR 1966,5,Fukuoka (JPN),04 DEC 1994,Men,Marathon
2276,2:11:28,Diamantino Silveira Dos Santos,BRA,03 FEB 1961,1,Carpi (ITA),27 OCT 1991,Men,Marathon
2276,2:11:28,Romulo Wagner Da Silva,BRA,26 MAY 1977,3,Rotterdam (NED),04 APR 2004,Men,Marathon
2276,2:11:28,Guoxiong Su,CHN,26 MAY 1992,4,Xuzhou (CHN),11 APR 2021,Men,Marathon
2277,2:34:13,Arado Gulume,ETH,1996,3,Linz (AUT),07 APR 2024,Women,Marathon
2277,2:34:13,Pamela Lisoreng,KEN,1987,4,Hengshui (CHN),21 SEP 2013,Women,Marathon
2279,2:34:14,Keneni Assefa Gudeta,ETH,1988,3,Zhengzhou (CHN),27 MAR 2016,Women,Marathon
2279,2:34:14,Prisca Kiprono,KEN,1980,3,Zürich (SUI),20 APR 2008,Women,Marathon
2279,2:34:14,Kelli Smith,USA,,12,"Houston, TX (USA)",16 JAN 2022,Women,Marathon
2279,2:34:14,Kedir Zahara,ETH,1986,5,Hong Kong (HKG),05 FEB 2012,Women,Marathon
2283,2:34:15,Gum Hui Rim,PRK,1993,5,Pyongyang (PRK),10 APR 2016,Women,Marathon
2283,2:34:15,Jinxue Chang,CHN,09 MAR 1988,8,Beijing (CHN),24 OCT 2010,Women,Marathon
2283,2:34:15,Akiyo Goto,JPN,13 JUL 1970,13,Nagoya (JPN),07 MAR 1993,Women,Marathon
2283,2:34:15,Karen Ehrenreich,DEN,24 SEP 1984,27,Sevilla (ESP),19 FEB 2023,Women,Marathon
2285,2:11:29,Norris Kipkemboi Biwott,KEN,,7,Chongqing (CHN),23 MAR 2013,Men,Marathon
2285,2:11:29,Julius Sugut,KEN,1978,7,Hamburg (GER),21 APR 2002,Men,Marathon
2285,2:11:29,Stig Roar Husby,NOR,12 SEP 1954,10,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,Men,Marathon
2285,2:11:29,Tatsuya Sumide,JPN,28 SEP 1986,4,Nobeoka (JPN),11 FEB 2024,Men,Marathon
2285,2:11:29,Nam-Kyun Chung,KOR,23 OCT 1978,1,Seoul (KOR),19 MAR 2000,Men,Marathon
2285,2:11:29,Takahiro Izumi,JPN,30 SEP 1964,1,Beijing (CHN),11 OCT 1992,Men,Marathon
2287,2:34:16,Caryl Jones,GBR,04 APR 1987,11,Amsterdam (NED),15 OCT 2017,Women,Marathon
2287,2:34:16,Hellen Chepkorir,KEN,23 JAN 1994,8,Košice (SVK),01 OCT 2017,Women,Marathon
2287,2:34:16,Chinami Fukaminato,JPN,21 MAY 1985,6,Sapporo (JPN),30 AUG 2009,Women,Marathon
2287,2:34:16,Yelena Orlova,RUS,03 FEB 1970,1,"Detroit, MI (USA)",24 OCT 2004,Women,Marathon
2291,2:11:30,Peter Njuguna Kariuki,KEN,31 DEC 1985,2,Nagano (JPN),18 APR 2010,Men,Marathon
2291,2:34:17,Joanna Lodge,GBR,06 JAN 1968,7,Berlin (GER),29 SEP 2002,Women,Marathon
2291,2:11:30,Carlos Retiz,MEX,13 AUG 1961,4,"Los Angeles, CA (USA)",06 MAR 1988,Men,Marathon
2291,2:11:30,John Woods,IRL,08 DEC 1955,1,Wexford (IRL),24 APR 1988,Men,Marathon
2291,2:11:30,Belayneh Tadesse,ETH,24 APR 1966,2,Venezia (ITA),09 OCT 1994,Men,Marathon
2291,2:11:30,Festus Kioko Kikumu,KEN,02 SEP 1982,2,Beograd (SRB),22 APR 2006,Men,Marathon
2291,2:11:30,Kimutai Cheruiyot,KEN,03 OCT 1985,9,See Genezareth (ISR),12 JAN 2012,Men,Marathon
2291,2:34:17,Dagmara Handzlik,CYP,20 FEB 1986,7,Gold Coast (AUS),07 JUL 2019,Women,Marathon
2291,2:11:30,Frank Futselaar,NED,16 JUL 1991,41,Valencia (ESP),06 DEC 2020,Men,Marathon
2291,2:11:30,Masatoshi Sakata,JPN,17 AUG 1994,40,Osaka (JPN),26 FEB 2023,Men,Marathon
2291,2:11:30,Worku Bekeda,ETH,,4,Venezia (ITA),22 OCT 2023,Men,Marathon
2291,2:11:30,Linus Rosdal,SWE,11 MAR 1992,51,Sevilla (ESP),18 FEB 2024,Men,Marathon
2291,2:34:17,Turena Johnson-Lane,USA,20 JUL 1975,6,"Boston, MA (USA)",20 APR 2008,Women,Marathon
2291,2:11:30,Phillip Kiplimo,UGA,24 MAR 1991,6,Köln (GER),13 OCT 2013,Men,Marathon
2291,2:11:30,Nicholas Arciniaga,USA,30 JUN 1983,2,"Houston, TX (USA)",30 JAN 2011,Men,Marathon
2294,2:34:18,Vera Nunes,POR,27 JAN 1980,1,Zürich (SUI),09 APR 2017,Women,Marathon
2294,2:34:18,Joke Kleijweg,NED,29 JAN 1962,1,Rotterdam (NED),21 APR 1991,Women,Marathon
2294,2:34:18,Miya Nishio,JPN,11 MAY 1988,12,Tokyo (JPN),28 FEB 2016,Women,Marathon
2294,2:34:18,Bency Chepngeno Cheruiyot,KEN,16 JUL 1990,11,Istanbul (TUR),07 NOV 2021,Women,Marathon
2294,2:34:18,Ruth Croft,NZL,15 JAN 1989,8,Seoul (KOR),17 MAR 2019,Women,Marathon
2294,2:34:18,Hayat Benhima,MAR,13 JAN 1992,9,Rabat (MAR),21 APR 2024,Women,Marathon
2294,2:34:18,Mineko Watanabe,JPN,24 JUL 1972,6,Nagoya (JPN),12 MAR 1995,Women,Marathon
2301,2:34:19,Yumiko Kinoshita,JPN,09 NOV 1986,15,Osaka (JPN),27 JAN 2019,Women,Marathon
2301,2:34:19,Amelwork Gessesse,ETH,,1,Changde (CHN),15 OCT 2016,Women,Marathon
2301,2:34:19,Meriah Earle,USA,21 MAY 1978,9,"Duluth, MN (USA)",18 JUN 2022,Women,Marathon
2301,2:34:19,Nina Zarina,RUS,17 MAR 1987,17,"Chicago, IL (USA)",09 OCT 2022,Women,Marathon
2301,2:34:19,Sun-Ae Kim,KOR,26 MAY 1978,5,Daegu (KOR),06 APR 2014,Women,Marathon
2301,2:34:19,Jill Clarke,GBR,20 JUN 1958,14,London (GBR),23 APR 1989,Women,Marathon
2301,2:34:19,Marina Belyayeva,RUS,15 AUG 1958,10,Berlin (GER),29 SEP 1996,Women,Marathon
2301,2:34:19,Maria Mccambridge,IRL,10 JUL 1975,2,Dublin (IRL),27 OCT 2014,Women,Marathon
2303,2:11:31,Sammy Malakwen,KEN,25 MAY 1978,2,Beirut (LBN),27 NOV 2011,Men,Marathon
2303,2:11:31,Kenji Takao,JPN,23 MAR 1975,6,Beppu (JPN),07 FEB 1999,Men,Marathon
2303,2:11:31,Kozo Akutsu,JPN,11 NOV 1960,6,Fukuoka (JPN),04 DEC 1994,Men,Marathon
2303,2:11:31,Paul Cummings,USA,05 SEP 1953,1,"Houston, TX (USA)",19 JAN 1986,Men,Marathon
2303,2:11:31,Benard Kiptoo Koech,KEN,28 DEC 1994,6,"Duluth, MN (USA)",17 JUN 2023,Men,Marathon
2303,2:11:31,William Cheboi Rutto,KEN,1988,6,Zhengzhou (CHN),26 MAR 2017,Men,Marathon
2303,2:11:31,John Kiprono,KEN,1968,2,Hamburg (GER),19 APR 1998,Men,Marathon
2309,2:34:20,Joy Smith,USA,05 JAN 1962,18,London (GBR),21 APR 1991,Women,Marathon
2309,2:34:20,Hanane Janat,MAR,17 JAN 1983,2,Firenze (ITA),27 NOV 2011,Women,Marathon
2309,2:34:20,Saki Tabata,JPN,06 APR 1991,24,Nagoya (JPN),13 MAR 2016,Women,Marathon
2309,2:34:20,Zeddi Jerop Limo,KEN,06 AUG 1987,10,Valencia (ESP),15 NOV 2015,Women,Marathon
2309,2:34:20,Andrea Bowman,USA,25 FEB 1966,2,"Duluth, MN (USA)",17 JUN 1995,Women,Marathon
2310,2:11:32,Mike Chesire,KEN,1996,10,Wien (AUT),24 APR 2022,Men,Marathon
2310,2:11:32,Shogo Ise,JPN,06 AUG 1996,12,Oita (JPN),06 FEB 2022,Men,Marathon
2310,2:11:32,Frank Lara,USA,25 SEP 1995,6,"Houston, TX (USA)",16 JAN 2022,Men,Marathon
2310,2:11:32,Daniel Kiptum,KEN,1978,4,Zürich (SUI),17 APR 2011,Men,Marathon
2310,2:11:32,Solonei Rocha Da Silva,BRA,18 APR 1982,4,Padova (ITA),17 APR 2011,Men,Marathon
2310,2:11:32,Peter Kiplagat Sitienei,KEN,04 FEB 1984,3,Nairobi (KEN),25 OCT 2009,Men,Marathon
2310,2:11:32,Vladimir Bugrov,URS,08 AUG 1945,1,Minsk (BLR),20 SEP 1972,Men,Marathon
2310,2:11:32,Juan Carlos Montero,ESP,20 NOV 1961,2,Hamburg (GER),30 APR 1995,Men,Marathon
2314,2:34:21,Tsegereda Girma,ETH,31 MAY 1995,8,Lanzhou (CHN),14 JUN 2015,Women,Marathon
2314,2:34:21,Ok-Ran Jang,PRK,,6,Pyongyang (PRK),15 APR 2001,Women,Marathon
2314,2:34:21,Suzanne Rigg,GBR,29 NOV 1963,8,Berlin (GER),24 SEP 1995,Women,Marathon
2317,2:34:22,Olivia Pratt,USA,21 JAN 1994,18,"Chicago, IL (USA)",09 OCT 2022,Women,Marathon
2317,2:34:22,Demse Alemtsehay Mesfin,ETH,1985,7,Roma (ITA),18 MAR 2012,Women,Marathon
2317,2:34:22,Mika Hikita,JPN,04 AUG 1976,11,Nagoya (JPN),10 MAR 2002,Women,Marathon
2317,2:34:22,Anna Bracegirdle,GBR,1994,6,Manchester (GBR),03 APR 2022,Women,Marathon
2318,2:11:33,Leonardo Vieira Guedes,BRA,23 JAN 1973,14,Rotterdam (NED),16 APR 2000,Men,Marathon
2318,2:11:33,Luke Caldwell,GBR,02 AUG 1991,7,"Houston, TX (USA)",16 JAN 2022,Men,Marathon
2318,2:11:33,Nicholas Korir,KEN,18 NOV 1990,5,Košice (SVK),07 OCT 2018,Men,Marathon
2318,2:11:33,Gezahegn Muleta,ETH,14 SEP 1989,3,La Rochelle (FRA),29 NOV 2015,Men,Marathon
2318,2:11:33,Bernard Tallam,KEN,1986,3,Sevilla (ESP),22 FEB 2015,Men,Marathon
2318,2:11:33,Peter Kiplagat,KEN,,2,Reims (FRA),19 OCT 2014,Men,Marathon
2318,2:11:33,Benson Cheruiyot,KEN,01 FEB 1982,2f1,"Houston, TX (USA)",18 JAN 2009,Men,Marathon
2318,2:11:33,Fekadu Degefu,ETH,1974,1,Reims (FRA),24 OCT 1999,Men,Marathon
2321,2:34:23,Shigemi Matsumoto,JPN,18 MAR 1975,18,Nagoya (JPN),09 MAR 1997,Women,Marathon
2321,2:34:23,Ivana Sekyrová,CZE,13 OCT 1971,9,Rotterdam (NED),15 APR 2012,Women,Marathon
2321,2:34:23,Marashet Jumma,ETH,1982,1,Valencia (ESP),27 NOV 2011,Women,Marathon
2321,2:34:23,Rael Kimaiyo Jepyator,KEN,1985,2,Warszawa (POL),25 SEP 2011,Women,Marathon
2321,2:34:23,Gladys Jerotich Kibiwot,BRN,07 MAY 1990,9,Seoul (KOR),20 MAR 2016,Women,Marathon
2321,2:34:23,Selina Chelimo Chemunge,KEN,1982,1,Košice (SVK),05 OCT 2008,Women,Marathon
2326,2:11:34,Stephen Mungathia,KEN,,8,Frankfurt (GER),30 OCT 2022,Men,Marathon
2326,2:11:34,Czesław Wilczewski,POL,26 DEC 1958,2,Beppu (JPN),02 FEB 1986,Men,Marathon
2326,2:11:34,Simon Mrashani,TAN,18 APR 1964,1,Otsu (JPN),10 MAR 1991,Men,Marathon
2326,2:11:34,Jong-Hyong Lee,PRK,03 NOV 1956,4,Fukuoka (JPN),02 DEC 1984,Men,Marathon
2326,2:11:34,Juan Carlos Traspaderne,ESP,02 SEP 1956,12,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,Men,Marathon
2326,2:11:34,Futoshi Shinohara,JPN,14 APR 1962,6,Tokyo (JPN),09 FEB 1992,Men,Marathon
2326,2:11:34,Linus Kipkosgei Maiyo,KEN,26 FEB 1983,3,Barcelona (ESP),17 MAR 2013,Men,Marathon
2326,2:11:34,Reed Fischer,USA,09 JUL 1995,9,"Orlando, FL (USA)",03 FEB 2024,Men,Marathon
2326,2:11:34,Willy Kangogo Kimutai,KEN,12 FEB 1984,3,Barcelona (ESP),25 MAR 2012,Men,Marathon
2326,2:11:34,Pablo Olmedo,MEX,08 MAY 1975,1,Torreón (MEX),04 MAR 2007,Men,Marathon
2326,2:11:34,Elijah Yator,KEN,20 OCT 1982,1,La Rochelle (FRA),30 NOV 2003,Men,Marathon
2326,2:11:34,Shin Nakashima,JPN,16 DEC 1963,7,Paris (FRA),02 APR 1995,Men,Marathon
2326,2:11:34,Peter Fonseca,CAN,05 OCT 1966,1,Toronto (CAN),07 MAY 1995,Men,Marathon
2326,2:11:34,Pius Mausa Mutuku,KEN,03 AUG 1985,4,Hannover (GER),03 MAY 2009,Men,Marathon
2326,2:11:34,Noritaka Fujiyama,JPN,25 NOV 1983,12,Otsu (JPN),03 MAR 2013,Men,Marathon
2326,2:11:34,Woldemikael Feyisa,ETH,,4,La Rochelle (FRA),27 NOV 2011,Men,Marathon
2327,2:34:24,Tetyana Krivobok-Mezentseva,UKR,17 JAN 1972,5,Hamburg (GER),25 APR 2010,Women,Marathon
2327,2:34:24,Brianne Nelson,USA,27 OCT 1980,3,St. Paul (USA),05 OCT 2014,Women,Marathon
2327,2:34:24,Chuan Luo,CHN,01 JAN 1991,6,Hengshui (CHN),24 SEP 2016,Women,Marathon
2327,2:34:24,Mimi Smith,USA,,21,"Chicago, IL (USA)",08 OCT 2023,Women,Marathon
2327,2:34:24,Sara Brogiato,ITA,19 MAR 1990,22,Siena (ITA),11 APR 2021,Women,Marathon
2327,2:34:24,Dimitra Papaspyrou,GRE,02 JAN 1964,6,Berlin (GER),01 OCT 1989,Women,Marathon
2327,2:34:24,Naoko Kishida,JPN,14 MAY 1974,19,Nagoya (JPN),09 MAR 1997,Women,Marathon
2327,2:34:24,Karen Dunn,USA,21 NOV 1962,5,"Chicago, IL (USA)",16 OCT 1983,Women,Marathon
2335,2:34:25,Meseret Hailu,ETH,07 JUL 2003,1,Shijiazhuang (CHN),31 MAR 2024,Women,Marathon
2335,2:34:25,Shauline Koech,KEN,1991,5,Izmir (TUR),17 APR 2022,Women,Marathon
2335,2:34:25,Penniah Wanjiru,KEN,11 OCT 1984,1,Brighton (GBR),12 APR 2015,Women,Marathon
2335,2:34:25,Wendy Thomas,USA,19 JAN 1979,12,"Houston, TX (USA)",14 JAN 2012,Women,Marathon
2335,2:34:25,Irina Sklyarenko,URS,07 NOV 1961,2,Uzhgorod (URS),17 APR 1988,Women,Marathon
2340,2:34:26,Asuka Yamamoto,JPN,26 MAY 1997,11,Tokyo (JPN),25 FEB 2018,Women,Marathon
2340,2:34:26,Alexi Pappas,GRE,28 MAR 1990,10,"Houston, TX (USA)",19 JAN 2020,Women,Marathon
2340,2:34:26,Heather Macduff,GBR,17 MAY 1958,1,Eindhoven (NED),16 OCT 1988,Women,Marathon
2340,2:34:26,Jackline Chemwok Rionoropo,KEN,13 SEP 1983,1,Porto Alegre (BRA),18 MAY 2014,Women,Marathon
2342,2:11:35,Takeharu Honda,JPN,24 APR 1967,2,Fukuoka (JPN),01 DEC 1991,Men,Marathon
2342,2:11:35,Fred Torneden,USA,02 JUL 1957,1,St. Paul (USA),30 SEP 1984,Men,Marathon
2342,2:11:35,Joel Saitoti,KEN,1972,3,Mombasa (KEN),14 MAY 2006,Men,Marathon
2342,2:11:35,Dan Browne,USA,24 JUN 1975,1,St. Paul (USA),29 SEP 2002,Men,Marathon
2342,2:11:35,Edwin Kiyeng,KEN,1988,1,Zürich (SUI),19 APR 2015,Men,Marathon
2342,2:11:35,Hiroshi Tako,JPN,10 SEP 1968,2,Hiroshima (JPN),06 MAR 1994,Men,Marathon
2342,2:11:35,Hitoshi Saotome,JPN,09 JAN 1967,3,Fukuoka (JPN),01 DEC 1991,Men,Marathon
2342,2:11:35,Pablo Sierra,ESP,13 MAY 1969,1,St. Paul (USA),02 OCT 1994,Men,Marathon
2344,2:34:27,Paola Apolonio Juarez,MEX,27 APR 1978,1,Torreón (MEX),06 MAR 2011,Women,Marathon
2344,2:34:27,Sabah Es-Seqally,MAR,21 AUG 1997,10,Rabat (MAR),21 APR 2024,Women,Marathon
2344,2:34:27,Hong-Xia Lan,CHN,,3,Dalian (CHN),27 OCT 1996,Women,Marathon
2344,2:34:27,Yongying Kan,CHN,20 APR 1979,3,Xiamen (CHN),30 MAR 2003,Women,Marathon
2348,2:34:28,Irene Kosgei,KEN,26 OCT 1986,3,Ottawa (CAN),24 MAY 2009,Women,Marathon
2348,2:34:28,Emily Kearney,GBR,10 NOV 1995,13,"Houston, TX (USA)",16 JAN 2022,Women,Marathon
2348,2:34:28,Jan Yerkes,USA,29 JAN 1957,1,"Philadelphia, PA (USA)",28 NOV 1982,Women,Marathon
2348,2:34:28,Shoko Mori,JPN,17 MAY 1984,8,Osaka (JPN),25 JAN 2015,Women,Marathon
2348,2:34:28,Mun Hye Ok,PRK,09 MAR 1993,9,Pyongyang (PRK),07 APR 2019,Women,Marathon
2348,2:34:28,Fatiha Klilech-Fauvel,FRA,01 FEB 1975,3,Reims (FRA),18 OCT 2009,Women,Marathon
2348,2:34:28,Megumi Amako,JPN,13 DEC 1990,6,Seoul (KOR),15 MAR 2015,Women,Marathon
2350,2:11:36,Kenneth East,GBR,25 FEB 1957,2,"Houston, TX (USA)",15 JAN 1989,Men,Marathon
2350,2:11:36,Miguel Ángel Mallqui,PER,10 DEC 1971,12,"Chicago, IL (USA)",11 OCT 1998,Men,Marathon
2350,2:11:36,Kenny Moore,USA,01 DEC 1943,2,Fukuoka (JPN),06 DEC 1970,Men,Marathon
2350,2:11:36,Luigi Di Lello,ITA,31 MAY 1968,8,London (GBR),02 APR 1995,Men,Marathon
2350,2:11:36,Kenedy Kiptoo Lilan,KEN,11 JAN 1987,2,Zhengzhou (CHN),27 MAR 2011,Men,Marathon
2350,2:11:36,Scott Westcott,AUS,25 SEP 1975,2,Beppu (JPN),06 FEB 2005,Men,Marathon
2350,2:11:36,Christopher Rutto,KEN,,2,Valencia (ESP),17 FEB 2008,Men,Marathon
2350,2:11:36,Kazuki Takeshita,JPN,17 SEP 1995,31,Tokyo (JPN),01 MAR 2020,Men,Marathon
2350,2:11:36,Chol Ri-Kyong,PRK,08 MAR 1979,1,Pyongyang (PRK),10 APR 2005,Men,Marathon
2350,2:11:36,Fernando Cabada,USA,22 APR 1982,11,Berlin (GER),28 SEP 2014,Men,Marathon
2355,2:34:29,Susan King,USA,09 JUN 1958,10,"Olympia, WA (USA)",12 MAY 1984,Women,Marathon
2355,2:34:29,Monika Juodskaitė,LTU,03 OCT 1991,14,"Chicago, IL (USA)",11 OCT 2015,Women,Marathon
2355,2:34:29,. Ruwiyati,INA,01 SEP 1977,1,Chiang Mai (THA),13 DEC 1995,Women,Marathon
2355,2:34:29,Anzhelika Averkova,UKR,13 MAR 1969,4,La Rochelle (FRA),28 NOV 2010,Women,Marathon
2355,2:34:29,Jackie Hallam,AUS,13 FEB 1970,5,London (GBR),12 APR 1992,Women,Marathon
